400
0	0.65
5	0.65
10	0.65
15	0.65
20	0.65
25	0.65
30	0.65
35	0.65
40	0.65
45	0.65
50	0.65
55	0.65
60	0.65
65	0.65
70	0.65
75	0.65
80	0.65
85	0.65
90	0.65
95	0.65
100	0.65
105	0.65
110	0.65
115	0.65
120	0.65
125	0.65
130	0.65
135	0.65
140	0.65
145	0.65
150	0.65
155	0.65
160	0.65
165	0.65
170	0.65
175	0.65
180	0.65
185	0.65
190	0.65
195	0.65
200	0.65
205	0.65
210	0.65
215	0.65
220	0.65
225	0.65
230	0.65
235	0.64
240	0.62
245	0.61
250	0.6
255	0.59
260	0.57
265	0.56
270	0.55
275	0.53
280	0.52
285	0.51
290	0.5
295	0.48
300	0.47
305	0.47
310	0.46
315	0.46
320	0.45
325	0.45
330	0.44
335	0.42
340	0.41
345	0.4
350	0.4
355	0.39
360	0.38
365	0.38
370	0.37
375	0.32
380	0.31
385	0.3
390	0.28
395	0.27
400	0.26
